interpro	Class
IPR017326	Cleavage
IPR011163	Cleavage
IPR011360	Cleavage
IPR012224	Cleavage
IPR026280	Cleavage
IPR012267	Cleavage
IPR014394	Cleavage
IPR017324	Cleavage
IPR017329	Cleavage
IPR023317	Cleavage
IPR024175	Cleavage
IPR033190	Cleavage
IPR003966	Binding
IPR012224	Binding
IPR033190	Binding
IPR008292	Cleavage
IPR028341	Cleavage
IPR017118	Cleavage
IPR017327	Cleavage
IPR024174	Cleavage
IPR027284	Cleavage
IPR033040	Cleavage
IPR001316	Cleavage
IPR001318	Factor
IPR001319	Binding
IPR001323	Factor
IPR003013	Factor
IPR003978	Factor
IPR001333	Cleavage
IPR001334	Binding
IPR001343	Binding
IPR001347	Binding / Sugar
IPR001352	Binding
IPR004641	Binding
IPR004649	Binding
IPR020787	Binding
IPR022898	Binding
IPR001356	Binding
IPR008422	Binding
IPR020479	Binding
IPR001360	Hydrolase
IPR005928	Hydrolase
IPR017736	Hydrolase
IPR028546	Hydrolase
IPR001362	Hydrolase
IPR006232	Hydrolase
IPR001367	Binding
IPR001367	Stabilisation / Oligomerisation
IPR001368	Binding / Protein
IPR001374	Binding
IPR034069	Binding
IPR034071	Binding
IPR034076	Binding
IPR034077	Binding
IPR034079	Binding
IPR034082	Binding
IPR034083	Binding
IPR034042	Binding
IPR034068	Binding
IPR034072	Binding
IPR034081	Binding
IPR001382	Binding
IPR001384	Cleavage
IPR001393	Binding
IPR001394	Hydrolase / Ubiquitin
IPR033815	Hydrolase / Ubiquitin
IPR033840	Hydrolase / Ubiquitin
IPR033841	Hydrolase / Ubiquitin
IPR001396	Binding
IPR001400	Factor
IPR001401	Binding / GTP
IPR001406	Binding
IPR001409	Binding
IPR001412	Binding
IPR001415	Factor
IPR003625	Factor
IPR003626	Factor
IPR001424	Binding
IPR001427	Binding
IPR029739	Binding
IPR029740	Binding
IPR029741	Binding
IPR029742	Binding
IPR029743	Binding
IPR001431	Cleavage
IPR001433	Oxidoreductase
IPR001709	Oxidoreductase
IPR001437	Binding
IPR001440	Binding / Protein
IPR001442	Binding / Sugar
IPR001452	Binding / Protein
IPR029294	Binding / Protein
IPR001464	Binding
IPR002388	Binding
IPR002389	Binding
IPR002393	Binding
IPR002390	Binding
IPR002391	Binding
IPR002392	Binding
IPR009115	Binding
IPR008088	Binding
IPR008156	Binding
IPR008157	Binding
IPR009116	Binding
IPR009166	Binding
IPR002389	Binding / Protein
IPR009117	Binding
IPR009118	Binding
IPR013286	Binding
IPR015473	Binding
IPR001478	Binding / Protein
IPR024958	Binding / Protein
IPR029414	Binding / Protein
IPR001483	Factor
IPR001487	Binding / Protein
IPR001490	Cleavage
IPR001505	Binding
IPR001506	Cleavage
IPR034035	Cleavage
IPR034036	Cleavage
IPR034038	Cleavage
IPR034039	Cleavage
IPR001507	Oligomerisation
IPR001510	Binding
IPR001514	Binding
IPR001523	Binding
IPR001524	Hydrolase
IPR001525	Transferase
IPR017198	Transferase
IPR030487	Transferase
IPR030488	Transferase
IPR001526	Binding
IPR001528	Cleavage
IPR001531	Binding
IPR001537	Binding
IPR001545	Factor
IPR001547	Hydrolase
IPR001548	Cleavage
IPR033591	Cleavage
IPR001550	Binding
IPR001557	Oxidoreductase
IPR011275	Oxidoreductase
IPR010097	Oxidoreductase
IPR023958	Oxidoreductase
IPR010945	Oxidoreductase
IPR011272	Oxidoreductase
IPR011273	Oxidoreductase
IPR011274	Oxidoreductase
IPR011304	Oxidoreductase
IPR001559	Binding
IPR001561	Binding
IPR001565	Binding / Lipid
IPR001566	Binding
IPR001567	Cleavage
IPR001568	Binding
IPR033697	Binding
IPR001570	Cleavage
IPR001577	Cleavage
IPR001579	Hydrolase
IPR001580	Binding
IPR009169	Binding
IPR001590	Cleavage
IPR033817	Cleavage
IPR034025	Cleavage
IPR034027	Cleavage
IPR034028	Cleavage
IPR034030	Cleavage
IPR001591	Binding
IPR001594	Binding
IPR001598	Binding
IPR001599	Cleavage / Inhibitor
IPR001604	Binding
IPR001604	Hydrolase
IPR020821	Binding
IPR020821	Hydrolase
IPR001605	Binding / Protein
IPR001606	Binding
IPR001607	Binding
IPR001611	Binding / Protein
IPR001613	Oxidoreductase
IPR001616	Binding
IPR001623	Binding / Protein
IPR001627	Binding / Protein
IPR001628	Binding
IPR001630	Binding
IPR029825	Stabilisation / Oligomerisation
IPR001631	Binding
IPR001647	Binding
IPR001650	Unknown
IPR001651	Factor
IPR001656	Binding
IPR001660	Binding / Protein
IPR001668	Binding
IPR001670	Oxidoreductase
IPR001670	Binding
IPR001678	Transferase
IPR011023	Binding
IPR001680	Binding / Protein
IPR001683	Binding
IPR001690	Transferase
IPR001693	Factor
IPR001695	Binding
IPR001701	Hydrolase
IPR001710	Factor
IPR001713	Cleavage / Inhibitor
IPR001715	Binding / Protein
IPR010441	Binding / Protein
IPR022613	Binding / Protein
IPR001719	Binding
IPR001722	Hydrolase
IPR001723	Binding
IPR003070	Binding
IPR001728	Binding
IPR003068	Binding
IPR003069	Binding
IPR003074	Binding
IPR003071	Binding
IPR003072	Binding
IPR003073	Binding
IPR003078	Binding
IPR003075	Binding
IPR003076	Binding
IPR003077	Binding
IPR027289	Binding
IPR003079	Binding
IPR024178	Binding
